RequestorODS,month,"requestor_supplier","registration_count","retry_count","retry_rate"
A82646,07,EMIS,20,3,"0.15"
A82646,08,EMIS,20,5,"0.25"
A82647,04,EMIS,29,1,"0.034482758620689655"
A82647,05,EMIS,30,2,"0.06666666666666667"
A82647,06,EMIS,13,1,"0.07692307692307693"
A82647,07,EMIS,21,1,"0.047619047619047616"
A82647,08,EMIS,22,2,"0.09090909090909091"
A82650,04,EMIS,13,1,"0.07692307692307693"
A82650,05,EMIS,23,6,"0.2608695652173913"
A82650,06,EMIS,18,5,"0.2777777777777778"
A82650,07,EMIS,15,4,"0.26666666666666666"
A82650,08,EMIS,11,3,"0.2727272727272727"
A82651,04,EMIS,17,4,"0.23529411764705882"
A82651,05,EMIS,19,3,"0.15789473684210525"
A82651,06,EMIS,19,6,"0.3157894736842105"
A82651,07,EMIS,26,7,"0.2692307692307692"
A82651,08,EMIS,25,5,"0.2"
A82654,04,EMIS,39,17,"0.4358974358974359"
A82654,05,EMIS,48,14,"0.2916666666666667"
A82654,06,EMIS,38,12,"0.3157894736842105"
A82654,07,EMIS,37,15,"0.40540540540540543"
A82654,08,EMIS,32,11,"0.34375"
A83001,04,TPP,75,0,0
A83001,05,TPP,82,1,"0.012195121951219513"
A83001,06,TPP,84,0,0
A83001,07,TPP,92,0,0
A83001,08,TPP,98,0,0
A83003,04,EMIS,52,11,"0.21153846153846154"
A83003,05,EMIS,72,17,"0.2361111111111111"
A83003,06,EMIS,47,13,"0.2765957446808511"
A83003,07,EMIS,57,18,"0.3157894736842105"
A83003,08,EMIS,48,7,"0.14583333333333334"
A83004,04,TPP,12,0,0
A83004,05,TPP,4,0,0
A83004,06,TPP,12,0,0
A83004,07,TPP,15,0,0
A83004,08,TPP,19,0,0
A83005,04,TPP,30,0,0
A83005,05,TPP,41,0,0
A83005,06,TPP,58,0,0
A83005,07,TPP,54,0,0
A83005,08,TPP,53,0,0
A83006,04,TPP,34,0,0
A83006,05,TPP,43,0,0
A83006,06,TPP,27,0,0
A83006,07,TPP,37,0,0
A83006,08,TPP,26,0,0
A83007,04,TPP,54,0,0
A83007,05,TPP,46,0,0
A83007,06,TPP,49,0,0
A83007,07,TPP,42,0,0
A83007,08,TPP,33,0,0
A83008,04,TPP,16,0,0
A83008,05,TPP,33,0,0
A83008,06,TPP,44,0,0
A83008,07,TPP,51,0,0
A83008,08,TPP,42,0,0
A83009,04,EMIS,45,10,"0.2222222222222222"
A83009,05,EMIS,33,9,"0.2727272727272727"
A83009,06,EMIS,55,8,"0.14545454545454545"
A83009,07,EMIS,42,8,"0.19047619047619047"
A83009,08,EMIS,47,6,"0.1276595744680851"
A83010,04,TPP,39,0,0
A83010,05,TPP,41,0,0
A83010,06,TPP,52,0,0
A83010,07,TPP,35,0,0
A83010,08,TPP,45,0,0
A83011,04,EMIS,114,26,"0.22807017543859648"
A83011,05,EMIS,191,40,"0.2094240837696335"
A83011,06,EMIS,108,26,"0.24074074074074073"
A83011,07,EMIS,152,57,"0.375"
A83011,08,EMIS,643,252,"0.39191290824261277"
A83012,04,TPP,75,0,0
A83012,05,TPP,76,0,0
A83012,06,TPP,59,1,"0.01694915254237288"
A83012,07,TPP,59,2,"0.03389830508474576"
A83012,08,TPP,63,0,0
A83013,04,TPP,93,0,0
A83013,05,TPP,77,0,0
A83013,06,TPP,79,0,0
A83013,07,TPP,82,0,0
A83013,08,TPP,100,0,0
A83014,04,EMIS,24,0,0
A83014,05,EMIS,37,0,0
A83014,06,EMIS,16,0,0
A83014,07,EMIS,26,0,0
A83014,08,EMIS,26,0,0
A83015,04,TPP,37,0,0
A83015,05,TPP,48,0,0
A83015,06,TPP,35,0,0
A83015,07,TPP,40,0,0
A83015,08,TPP,43,0,0
A83016,04,TPP,38,0,0
A83016,05,TPP,28,1,"0.03571428571428571"
A83016,06,TPP,30,0,0
A83016,07,TPP,46,0,0
